GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webforum,com.javaprac.managers,DiscussionsManager,0,3,0,0,0,1,0,1,0,1
webforum,com.javaprac.managers,SectionsManager,0,85,0,0,0,15,0,2,0,2
webforum,com.javaprac.managers,MessagesManager,0,3,0,0,0,1,0,1,0,1
webforum,com.javaprac.managers,EntityManagerCreator,3,21,0,2,1,7,1,3,1,2
webforum,com.javaprac.managers,UsersManager,0,69,0,4,0,21,0,6,0,4
webforum,com.javaprac.managers,Manager,0,85,0,0,0,27,0,7,0,7
webforum,com.javaprac.model,Message,15,171,12,14,2,40,13,15,2,13
webforum,com.javaprac.model,Discussion,6,299,9,55,3,65,9,37,0,14
webforum,com.javaprac.model,Quote,22,30,6,0,3,8,4,4,1,4
webforum,com.javaprac.model,Section,19,268,11,43,2,58,9,32,0,14
webforum,com.javaprac.model,User,1,152,7,7,0,36,7,16,0,16
webforum,com.javaprac.model,Section.ActiveUsersWrapper,0,15,0,0,0,6,0,1,0,1
webforum,com.javaprac,Permission,0,50,0,4,0,7,0,6,0,4
